StationName,ObservationDate,Year,Precipitation,PrecipitationRank
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1976,0.43,73
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1976,0.55,64
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1977,0.73,5
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1977,1.91,100
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1977,2.79,12
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1977,2.08,67
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1977,2.27,43
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1977,1.3,98
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1977,1.06,98
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1977,1.51,65
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.61,22
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.61,44
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.55,64
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.56,33
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.64,39
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.52,76
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1978,1.01,8
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1978,0.67,13
DETROIT CITY AIRPORT MI US,00:00.0,1978,0.92,72
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1978,2.57,48
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1978,1.48,70
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1978,1.15,67
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1978,1.35,86
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1979,0.49,44
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1979,0.52,76
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1979,1.97,89
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1979,4.51,1
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1979,1.62,26
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1979,1.55,70
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1979,1.44,80
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1979,1.75,51
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1979,0.69,7
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.59,52
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.64,39
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.49,90
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.51,81
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.6,24
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.49,90
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1980,0.66,15
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1980,2.04,72
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1980,2.36,32
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1980,1.54,29
DETROIT CITY AIRPORT MI US,00:00.0,1980,1.19,31
DETROIT CITY AIRPORT MI US,00:00.0,1980,0.83,93
DETROIT CITY AIRPORT MI US,00:00.0,1981,0.81,97
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1981,1.94,43
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1981,1.93,98
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1981,0.46,57
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1981,0.53,70
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1981,0.49,44
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.52,76
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.51,40
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.68,10
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.69,7
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.43,73
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.51,81
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1982,1.7,64
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1982,1.1,82
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1982,2.32,38
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1982,1.4,84
